XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,AtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D,pIC50
5.6,121.0,559.0,1.0,6.0,6.0,30.0,0.0,0.0,0.0,0.0,341.3,9.21,5.63,1.97,9.0,3.0,1.0,0.0,1.0,4.0,0.0,1.0,7.0,10.0,-0.477121255
4.9,126.0,670.0,1.0,9.0,6.0,33.0,0.0,0.0,0.0,0.0,360.6,12.71,5.23,1.68,9.0,3.0,1.0,0.0,1.0,4.0,0.0,1.2,8.0,10.0,-1.0
6.3,175.0,627.0,1.0,8.0,7.0,32.0,0.0,0.0,0.0,0.0,376.7,9.56,5.75,2.12,10.0,3.0,1.0,0.0,1.0,4.0,1.0,1.0,8.0,10.0,-1.041392685
4.4,162.0,554.0,1.0,8.0,6.0,29.0,0.0,0.0,0.0,0.0,332.3,10.12,5.41,1.57,10.0,4.0,1.0,0.0,1.0,4.0,0.0,1.0,7.0,10.0,-1.146128036
4.4,106.0,529.0,1.0,6.0,6.0,29.0,0.0,0.0,0.0,0.0,316.6,10.38,5.83,1.05,9.0,3.0,1.0,0.0,1.0,4.0,0.0,1.0,7.0,10.0,-1.176091259
5.9,106.0,687.0,1.0,9.0,6.0,34.0,0.0,0.0,0.0,0.0,368.4,11.83,6.0,1.32,9.0,3.0,1.0,0.0,1.0,4.0,0.0,1.0,8.0,10.0,-1.176091259
5.0,106.0,567.0,1.0,6.0,6.0,30.0,0.0,0.0,0.0,0.0,332.2,10.23,5.86,1.35,9.0,3.0,1.0,0.0,1.0,4.0,0.0,1.0,7.0,10.0,-1.176091259
4.7,80.2,354.0,1.0,4.0,6.0,22.0,0.0,0.0,0.0,0.0,260.7,8.02,3.97,2.5,7.0,2.0,1.0,0.0,1.0,2.0,1.0,0.8,7.0,10.0,-1.477121255
1.2,197.0,955.0,3.0,9.0,7.0,32.0,0.0,0.0,0.0,0.0,342.8,9.33,5.55,2.17,12.0,6.0,3.0,0.0,0.0,3.0,0.0,1.2,8.0,10.0,-1.602059991
4.5,108.0,427.0,1.0,5.0,6.0,25.0,0.0,0.0,0.0,0.0,286.6,10.99,4.44,1.1,8.0,2.0,1.0,0.0,1.0,3.0,1.0,1.0,7.0,10.0,-1.602059991
2.7,114.0,631.0,2.0,6.0,7.0,28.0,0.0,0.0,0.0,0.0,303.2,8.11,5.08,2.54,9.0,4.0,2.0,0.0,0.0,3.0,0.0,1.0,8.0,10.0,-1.653212514
2.3,146.0,836.0,2.0,7.0,7.0,31.0,0.0,0.0,0.0,0.0,332.2,8.72,5.61,2.2,10.0,5.0,2.0,0.0,0.0,3.0,0.0,1.0,8.0,10.0,-1.77815125
3.3,146.0,890.0,2.0,7.0,8.0,33.0,1.0,1.0,0.0,0.0,359.0,8.06,7.24,2.3,11.0,5.0,2.0,0.0,0.0,3.0,1.0,1.2,9.0,10.0,-1.77815125
3.7,105.0,619.0,2.0,5.0,6.0,27.0,0.0,0.0,0.0,0.0,297.6,7.46,5.43,1.62,8.0,3.0,2.0,0.0,0.0,3.0,0.0,1.4,7.0,10.0,-2.0
3.7,105.0,609.0,2.0,5.0,6.0,27.0,0.0,0.0,0.0,0.0,298.2,14.71,3.63,2.03,8.0,3.0,2.0,0.0,0.0,3.0,0.0,1.2,7.0,10.0,-2.301029996
5.9,131.0,638.0,1.0,7.0,9.0,34.0,0.0,0.0,0.0,0.0,385.3,13.71,6.19,1.88,11.0,4.0,1.0,0.0,1.0,4.0,1.0,1.4,10.0,10.0,-2.301029996
1.7,114.0,613.0,2.0,9.0,7.0,27.0,0.0,0.0,0.0,0.0,289.1,12.12,3.58,1.43,8.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,9.0,10.0,-2.301029996
5.5,120.0,776.0,2.0,5.0,8.0,31.0,0.0,0.0,0.0,0.0,348.4,9.88,4.88,2.75,9.0,3.0,2.0,0.0,0.0,3.0,1.0,1.2,10.2,10.0,-2.301029996
3.6,120.0,794.0,2.0,8.0,5.0,30.0,0.0,0.0,0.0,0.0,315.9,10.21,5.26,1.14,8.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,7.0,10.0,-2.301029996
2.2,178.0,509.0,2.0,9.0,7.0,26.0,0.0,0.0,0.0,0.0,277.4,9.33,6.02,1.63,11.0,4.0,2.0,1.0,2.0,2.0,0.0,1.0,9.0,10.0,-2.397940009
2.8,97.7,486.0,0.0,6.0,5.0,25.0,1.0,1.0,0.0,0.0,275.0,20.66,1.55,1.42,8.0,4.0,0.0,0.0,1.0,3.0,0.0,0.8,5.6,10.0,-2.477121255
3.7,120.0,728.0,2.0,5.0,5.0,28.0,1.0,1.0,0.0,0.0,308.6,6.68,6.08,2.27,9.0,3.0,2.0,0.0,0.0,3.0,1.0,0.8,6.0,10.0,-2.477121255
4.9,120.0,773.0,2.0,5.0,6.0,30.0,0.0,0.0,0.0,0.0,336.2,11.61,4.29,2.96,9.0,3.0,2.0,0.0,0.0,3.0,1.0,1.2,8.2,10.0,-2.544068044
4.7,89.4,474.0,1.0,5.0,7.0,28.0,0.0,0.0,0.0,0.0,312.6,10.23,5.64,1.2,9.0,3.0,1.0,0.0,1.0,3.0,1.0,1.0,8.0,10.0,-2.602059991
4.0,80.2,443.0,1.0,8.0,4.0,24.0,0.0,0.0,0.0,0.0,259.8,8.26,3.45,2.32,6.0,2.0,1.0,0.0,1.0,2.0,0.0,0.8,6.0,10.0,-2.698970004
2.9,67.5,530.0,1.0,4.0,1.0,23.0,1.0,1.0,0.0,0.0,237.9,10.44,2.6,0.8,9.0,4.0,1.0,0.0,0.0,4.0,0.0,0.6,1.8,5.0,-1.394451681
3.2,73.6,613.0,0.0,5.0,2.0,25.0,1.0,1.0,0.0,0.0,256.4,11.58,2.79,0.91,8.0,4.0,0.0,0.0,0.0,4.0,0.0,0.6,2.8,8.0,-1.324282455
3.8,43.4,571.0,0.0,3.0,0.0,22.0,1.0,1.0,0.0,0.0,232.9,9.46,2.64,0.86,8.0,3.0,0.0,0.0,0.0,4.0,1.0,0.6,1.4,1.0,-2.35545152
3.7,47.3,471.0,0.0,3.0,0.0,21.0,0.0,0.0,0.0,0.0,216.7,9.25,2.69,0.6,7.0,3.0,0.0,0.0,0.0,4.0,0.0,0.6,0.0,1.0,-1.587710965
3.2,43.4,533.0,0.0,3.0,0.0,21.0,1.0,1.0,0.0,0.0,218.5,8.99,2.69,0.7,7.0,3.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,1.0,-1.158362492
4.9,34.1,498.0,0.0,2.0,1.0,21.0,0.0,0.0,0.0,0.0,230.3,9.88,2.42,0.94,7.0,2.0,0.0,0.0,0.0,3.0,2.0,0.6,1.8,4.0,-1.324282455
4.9,134.0,697.0,0.0,9.0,2.0,28.0,0.0,0.0,0.0,0.0,294.4,9.46,3.03,1.97,10.0,6.0,0.0,2.0,0.0,2.0,0.0,0.8,5.0,4.0,0.522878745
7.3,95.1,777.0,0.0,6.0,8.0,31.0,0.0,0.0,0.0,0.0,362.0,20.02,7.05,1.28,6.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,10.0,0.045757491
1.5,120.0,378.0,2.0,6.0,2.0,18.0,0.0,0.0,0.0,0.0,195.7,8.18,1.93,1.55,7.0,2.0,2.0,0.0,1.0,2.0,0.0,0.6,2.0,2.0,-0.77815125
4.7,88.3,535.0,0.0,7.0,2.0,23.0,0.0,0.0,0.0,0.0,244.5,9.89,2.84,1.63,7.0,4.0,0.0,1.0,0.0,2.0,0.0,0.6,4.0,3.0,-1.079181246
2.3,125.0,565.0,0.0,6.0,2.0,22.0,0.0,0.0,0.0,0.0,232.6,8.37,3.47,0.99,9.0,6.0,0.0,1.0,0.0,2.0,0.0,0.6,3.0,4.0,-1.113943352
2.7,125.0,592.0,0.0,6.0,2.0,23.0,0.0,0.0,0.0,0.0,245.5,9.56,3.52,0.97,9.0,6.0,0.0,1.0,0.0,2.0,0.0,0.6,3.0,4.0,-1.113943352
1.4,114.0,452.0,0.0,5.0,2.0,20.0,0.0,0.0,0.0,0.0,214.9,9.86,2.15,1.54,8.0,4.0,0.0,2.0,0.0,2.0,0.0,0.6,3.0,2.0,-1.176091259
3.3,100.0,469.0,2.0,5.0,3.0,21.0,0.0,0.0,0.0,0.0,246.8,10.72,2.44,2.06,10.0,4.0,1.0,1.0,0.0,2.0,2.0,0.6,3.0,1.0,-1.204119983
1.6,96.9,505.0,1.0,5.0,4.0,21.0,0.0,0.0,0.0,0.0,223.6,5.3,3.11,1.54,8.0,5.0,0.0,1.0,0.0,2.0,0.0,0.6,4.0,10.0,-1.204119983
2.5,134.0,447.0,0.0,6.0,2.0,21.0,0.0,0.0,0.0,0.0,217.9,11.23,2.3,1.5,10.0,6.0,0.0,2.0,0.0,2.0,0.0,0.6,4.0,1.0,-1.397940009
4.6,97.1,554.0,1.0,8.0,5.0,25.0,0.0,0.0,0.0,0.0,260.5,22.7,2.99,1.15,7.0,1.0,1.0,0.0,2.0,3.0,0.0,0.8,4.0,10.0,-0.477121255
3.3,147.0,592.0,1.0,10.0,3.0,27.0,0.0,0.0,0.0,0.0,273.3,18.53,3.07,1.16,10.0,5.0,1.0,1.0,0.0,3.0,0.0,0.8,6.0,10.0,-0.698970004
